name,id,base_experience,weight_hg,height_dm,order,game_versions,types,front_default_sprite_url,BMI
Bulbasaur,1,64.0,69,7,1,"['red', 'blue', 'yellow', 'gold', 'silver', 'crystal', 'ruby', 'sapphire', 'emerald', 'firered', 'leafgreen', 'diamond', 'pearl', 'platinum', 'heartgold', 'soulsilver', 'black', 'white', 'black-2', 'white-2']","['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,14.081632653061222
Ivysaur,2,142.0,130,10,2,"['red', 'blue', 'yellow', 'gold', 'silver', 'crystal', 'ruby', 'sapphire', 'emerald', 'firered', 'leafgreen', 'diamond', 'pearl', 'platinum', 'heartgold', 'soulsilver', 'black', 'white', 'black-2', 'white-2']","['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,13.0
Venusaur,3,263.0,1000,20,3,"['red', 'blue', 'yellow', 'gold', 'silver', 'crystal', 'ruby', 'sapphire', 'emerald', 'firered', 'leafgreen', 'diamond', 'pearl', 'platinum', 'heartgold', 'soulsilver', 'black', 'white', 'black-2', 'white-2']","['grass', 'poison']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,25.0
Charmander,4,62.0,85,6,5,"['red', 'blue', 'yellow', 'gold', 'silver', 'crystal', 'ruby', 'sapphire', 'emerald', 'firered', 'leafgreen', 'diamond', 'pearl', 'platinum', 'heartgold', 'soulsilver', 'black', 'white', 'black-2', 'white-2']",['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,23.611111111111104
Charmeleon,5,142.0,190,11,6,"['red', 'blue', 'yellow', 'gold', 'silver', 'crystal', 'ruby', 'sapphire', 'emerald', 'firered', 'leafgreen', 'diamond', 'pearl', 'platinum', 'heartgold', 'soulsilver', 'black', 'white', 'black-2', 'white-2']",['fire'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,15.702479338842974
Charizard,6,267.0,905,17,7,"['red', 'blue', 'yellow', 'gold', 'silver', 'crystal', 'ruby', 'sapphire', 'emerald', 'firered', 'leafgreen', 'diamond', 'pearl', 'platinum', 'heartgold', 'soulsilver', 'black', 'white', 'black-2', 'white-2']","['fire', 'flying']",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,31.314878892733557
Squirtle,7,63.0,90,5,10,"['red', 'blue', 'yellow', 'gold', 'silver', 'crystal', 'ruby', 'sapphire', 'emerald', 'firered', 'leafgreen', 'diamond', 'pearl', 'platinum', 'heartgold', 'soulsilver', 'black', 'white', 'black-2', 'white-2']",['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,36.0
Wartortle,8,142.0,225,10,11,"['red', 'blue', 'yellow', 'gold', 'silver', 'crystal', 'ruby', 'sapphire', 'emerald', 'firered', 'leafgreen', 'diamond', 'pearl', 'platinum', 'heartgold', 'soulsilver', 'black', 'white', 'black-2', 'white-2']",['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,22.5
Blastoise,9,265.0,855,16,12,"['red', 'blue', 'yellow', 'gold', 'silver', 'crystal', 'ruby', 'sapphire', 'emerald', 'firered', 'leafgreen', 'diamond', 'pearl', 'platinum', 'heartgold', 'soulsilver', 'black', 'white', 'black-2', 'white-2']",['water'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,33.39843749999999
Caterpie,10,39.0,29,3,14,"['red', 'blue', 'yellow', 'gold', 'silver', 'crystal', 'ruby', 'sapphire', 'emerald', 'firered', 'leafgreen', 'diamond', 'pearl', 'platinum', 'heartgold', 'soulsilver', 'black', 'white', 'black-2', 'white-2']",['bug'],https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,32.222222222222214
